concentration,fp1,fp2,fp3
16790,202.85,199.25,201
10074,202.65,205.95,208.25
6044.4,199.2,201.15,207.7
3626.64,195.45,191.7,199.7
2175.984,188.05,183.15,189.75
1305.5904,178.4,174.65,178
783.35424,172.5,166.95,170.25
470.012544,166.95,162.7,166.2
282.007526,163.9,158.65,160.6
169.204516,162.75,156.05,157.9
101.52271,160.55,153.3,155.7
60.9136257,161.15,153.75,152.7
36.5481754,158.5,154.65,152.95
21.9289053,159.45,154.8,155.35
13.1573432,158.25,153.85,149.45
7.89440589,157.4,152.15,151.55
4.73664353,158.35,151.8,154.9
2.84198612,158.05,152.8,154.2
1.70519167,157.6,153.75,155.1
1.023115,156.05,154,155.7
0.613869,156.1,154.05,155.35
0.3683214,156.7,151.2,156.7
0,150.95,150.15,153.7
0,147.3,146.1,152